YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,station_id,latitude,longitude
2012,10,21,11,20,2,5.7,7.8,1.03,10.0,5.01,999,1015.0,24.8,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,11,50,16,4.6,6.9,0.95,9.09,4.81,999,1015.5,24.8,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,12,20,3,5.1,7.1,0.95,9.09,4.82,999,1015.8,25.0,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,12,50,13,5.1,7.1,0.99,10.81,5.06,999,1016.1,25.1,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,13,20,26,5.8,7.5,1.03,10.81,5.41,999,1016.6,25.1,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,13,50,7,5.8,7.5,0.94,9.09,4.59,999,1016.6,25.1,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,14,20,12,4.9,6.9,0.97,9.09,4.73,999,1016.7,25.1,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,14,50,25,5.5,7.2,0.96,10.0,4.68,999,1016.8,25.1,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,15,20,24,4.2,5.4,1.09,10.0,5.22,999,1017.0,25.1,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,15,50,22,4.7,5.9,1.01,10.0,5.09,999,1016.9,25.2,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,16,20,25,4.2,5.5,1.04,10.0,5.26,999,1016.8,25.2,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,16,50,28,4.7,6.7,0.99,9.09,4.98,999,1016.6,25.3,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,17,20,20,4.8,6.6,0.99,10.0,5.0,999,1016.3,25.3,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,17,50,23,4.6,6.0,1.1,9.09,5.47,999,1015.9,25.4,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,18,20,9,4.8,6.4,1.11,9.09,5.61,999,1015.6,25.4,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,18,50,28,5.4,7.0,1.13,9.09,5.59,999,1015.4,25.3,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,19,20,23,5.4,7.4,1.04,10.81,5.28,999,1015.4,25.3,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,19,50,27,5.2,7.2,1.03,10.0,5.45,999,1015.4,25.4,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,20,20,30,4.9,7.9,1.02,10.0,5.49,999,1015.5,25.4,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,20,50,30,5.6,7.5,0.98,9.09,5.23,999,1015.4,25.4,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,21,20,32,6.2,7.9,1.05,10.0,5.38,999,1015.4,25.4,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,21,50,26,6.1,7.6,0.95,10.0,4.86,999,1015.6,25.5,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,22,20,25,6.6,8.8,0.96,9.09,4.74,999,1015.7,25.4,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,22,50,20,7.2,9.0,0.99,9.09,4.94,999,1016.0,25.3,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,23,20,26,7.1,8.8,1.02,10.0,4.66,999,1016.3,25.4,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,22,0,20,41,6.0,7.5,1.02,9.09,4.58,999,1017.0,25.4,27.8,999.0,99.0,99.0,41010,28.878,-78.467
